Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Contact SAT1 Hapto,SAT1,0.09021026,7.213292,1.898008,0.3166211,2.668719,3.376378,0.009232306,0.008393006,7.153838,3.75,29.76459
Contact SAT1 Hapto,SAT1,0.1145588,7.16241,1.732458,0.3196135,2.563779,3.299435,0.007995697,0.008033424,7.102688,3.8475,29.84609
Contact SAT1 Hapto,SAT1,0.1189394,6.495512,1.732609,0.3395815,2.591646,3.452124,0.008688713,0.008177058,6.455756,3.705,28.10564
Contact SAT1 Hapto,SAT1,0.1198002,6.926207,1.886954,0.3162226,2.570259,3.386584,0.007934247,0.007890339,6.880634,3.7775,30.06622
Contact SAT1 Hapto,SAT1,0.09958466,6.976005,1.909854,0.3296229,2.908237,3.501801,0.009717186,0.008833805,6.920059,3.63,28.64361
Contact SAT1 Hapto,SAT1,0.1161241,7.27348,1.707338,0.3105395,2.484672,3.392089,0.00888049,0.008487362,7.224509,3.7625,31.21718
Contact SAT1 Hapto,SAT1,0.1234258,6.239567,1.807754,0.3448412,2.424703,3.450924,0.008241893,0.008819824,6.204142,3.7075,28.07039
Contact SAT1 Hapto,SAT1,0.1054917,6.430469,2.019286,0.3419806,2.886679,4.044968,0.007930939,0.008280541,6.386737,3.4075,28.22345
Contact SAT1 Hapto,SAT1,0.1249711,6.818386,1.817035,0.3378279,2.477779,3.385878,0.008076615,0.00803492,6.764521,3.75,28.00895
Contact SAT1 Hapto,SAT1,0.102676,7.531237,1.83209,0.3223125,2.745436,3.481739,0.00855629,0.007778446,7.464759,3.715,30.44975
Contact SAT1 Hapto,SAT1,0.07563259,7.191996,1.916126,0.3250119,3.064198,3.452381,0.008059338,0.008443489,7.128613,3.645,28.59164
Contact SAT1 Hapto,SAT1,0.1479898,7.093591,1.955842,0.3250336,2.212799,3.967308,0.008225905,0.008290778,7.04326,3.505,30.25556
Contact SAT1 Hapto,SAT1,0.129841,6.353615,1.717234,0.3245185,2.336998,3.668107,0.008214499,0.008231661,6.322646,3.665,29.86076
Contact SAT1 Hapto,SAT1,0.1035506,6.832531,1.90625,0.3331047,2.872041,3.318568,0.008782148,0.007983771,6.774694,3.765,27.834
Contact SAT1 Hapto,SAT1,0.09396755,6.249923,1.903749,0.3363678,2.929499,3.433383,0.008444059,0.008990316,6.205435,3.675,27.68839
Contact SAT1 Hapto,SAT1,0.1044483,6.850425,1.828265,0.300414,2.895307,3.450204,0.008009415,0.008042636,6.808677,3.745,30.89018
Contact SAT1 Hapto,SAT1,0.09266685,7.257792,1.741399,0.2990659,3.098078,3.453034,0.008340214,0.008702877,7.206271,3.7175,31.55324
Contact SAT1 Hapto,SAT1,0.1190397,6.227646,1.792631,0.3521659,2.608826,3.622086,0.008258072,0.008675346,6.188798,3.6,27.37628
Contact SAT1 Hapto,SAT1,0.1173734,7.115075,1.814103,0.3349012,2.546174,3.417855,0.007657731,0.008125499,7.057633,3.7325,28.90595
Contact SAT1 Hapto,SAT1,0.1103445,7.338742,1.926536,0.3163528,2.783602,3.422578,0.00818071,0.008132981,7.279782,3.705,29.61323
Contact SAT1 Hapto,SAT1,0.1171621,6.582213,1.766254,0.3326022,2.546224,3.474624,0.008339632,0.007878183,6.540942,3.73,28.95006
Contact SAT1 Hapto,SAT1,0.1360804,7.845105,1.80019,0.3076359,2.326793,3.375858,0.008255802,0.00817737,7.781824,3.7625,31.40287
Contact SAT1 Hapto,SAT1,0.1171831,7.074871,1.80306,0.3436923,2.507957,3.366628,0.008139284,0.007818738,7.016859,3.7625,28.27007
Contact SAT1 Hapto,SAT1,0.1058423,7.033379,1.876899,0.3161121,2.76887,3.549698,0.008254568,0.009171742,6.987303,3.5675,29.8339
Contact SAT1 Hapto,SAT1,0.1125708,7.274866,1.866156,0.3092214,2.644821,3.432234,0.009247419,0.008803895,7.223374,3.695,30.36611
Contact SAT1 Hapto,SAT1,0.1017066,6.237496,2.057144,0.3589182,2.790058,3.72147,0.007701929,0.007661974,6.182786,3.5725,26.15301
Contact SAT1 Hapto,SAT1,0.1166022,6.647907,1.927689,0.325005,2.479363,3.543226,0.008558872,0.00838971,6.607115,3.6625,29.68965
Contact SAT1 Hapto,SAT1,0.1186421,6.809361,1.782184,0.3321175,2.535654,3.371774,0.008951897,0.008138088,6.759765,3.7825,29.20195
Contact SAT1 Hapto,SAT1,0.1145551,7.667625,1.890803,0.3160818,2.505144,3.372847,0.008541462,0.008230175,7.605548,3.7375,30.63011
Contact SAT1 Hapto,SAT1,0.08879569,7.044326,1.797789,0.3409478,2.768,3.334308,0.007700493,0.007757735,6.98253,3.7575,27.83933
Contact SAT1 Hapto,SAT1,0.1267026,6.710642,1.853899,0.3308296,2.455096,3.584157,0.00847875,0.008628078,6.665795,3.635,28.823
Contact SAT1 Hapto,SAT1,0.1425743,6.696307,1.950577,0.3424622,2.226986,3.86617,0.008937337,0.008830919,6.657042,3.44,28.29116
Contact SAT1 Hapto,SAT1,0.1461646,6.493281,1.776811,0.3492875,2.243371,3.493798,0.007214814,0.00801646,6.451089,3.7275,28.14209
Contact SAT1 Hapto,SAT1,0.1393,6.931246,1.719362,0.356376,2.34264,3.391682,0.00926442,0.0084222,6.878991,3.725,28.08334
Contact SAT1 Hapto,SAT1,0.1067238,7.259899,1.808948,0.3085848,2.868895,3.374714,0.008792964,0.008384096,7.205495,3.76,30.3892
Contact SAT1 Hapto,SAT1,0.1224596,6.690958,1.94112,0.3426115,2.41845,3.374744,0.008854509,0.008420892,6.644508,3.75,28.18834
Contact SAT1 Hapto,SAT1,0.1060879,6.041618,2.027879,0.3463959,2.788684,3.986407,0.009041469,0.008822694,6.004448,3.46,27.11637
Contact SAT1 Hapto,SAT1,0.1087667,6.731126,1.748804,0.326213,2.657333,3.533003,0.009049148,0.009100358,6.691844,3.625,28.99891
Contact SAT1 Hapto,SAT1,0.118019,7.479697,1.704227,0.3042453,2.505824,3.32954,0.008691799,0.008767683,7.425957,3.8025,31.43149
Contact SAT1 Hapto,SAT1,0.1125162,6.486149,1.778675,0.3302839,2.65427,3.450998,0.008233921,0.008127708,6.446476,3.715,28.67038
